registrationdate,catottg_region,region,legalform,area,animal,giftamount,cntuser
2021-05-24,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Юридична особа,1053.638599999999,0,0,1
2021-05-24,UA80000000000093317,М. КИЇВ,ФОП,0.0,0,0,1
2021-05-22,UA18000000000041385,ЖИТОМИРСЬКА ОБЛАСТЬ,Юридична особа,337.0050999999999,0,0,1
2021-05-21,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Юридична особа,880.328799999999,0,0,1
2021-05-19,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,Юридична особа,232.06690000000006,0,0,1
2021-05-11,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,Юридична особа,218.50439999999998,0,0,1
2021-05-05,UA65000000000030969,ХЕРСОНСЬКА ОБЛАСТЬ,Юридична особа,123.70370000000003,0,0,1
2021-04-29,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,Юридична особа,107.75489999999999,0,0,1
2021-04-27,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,ФОП,0.49829999999999997,109,0,1
2021-04-27,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,ФОП,18.4361,0,0,1
2021-04-26,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Юридична особа,780.4599000000002,0,0,1
2021-04-26,UA63000000000041885,ХАРКІВСЬКА ОБЛАСТЬ,Юридична особа,105.9623,0,0,1
2021-04-26,UA74000000000025378,ЧЕРНІГІВСЬКА ОБЛАСТЬ,Фізична особа,2.6591,0,0,1
2021-04-23,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Юридична особа,1473.9762999999934,0,0,1
2021-04-22,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,Юридична особа,565.4032000000001,0,0,1
